月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,5,21,0.29,2.444892859,0,0,69.68756139,-47,87
1,5,22,-0.66,2.446601927,0,0,65.92706167,-59,76
1,5,23,-0.53,2.499120261,0,0,65.47255444,-71,56
1,5,24,-0.7,2.34249376,0,0,67.71027833,-78,10
1,6,1,-2.07,2.230886125,0,0,64.53138444,-74,-46
1,6,2,-2.8,2.002355224,0,0,66.26869389,-63,-71
1,6,3,-3.58,1.99311201,0,0,63.495675,-51,-84
1,6,4,-3.85,1.984299821,0,0,62.65673778,-39,-87
1,6,5,-4.11,2.026567326,0,0,60.817,-26,-80
1,6,6,-3.77,2.084855797,0,0,60.92445278,-14,-72
1,6,7,-3.83,2.106759189,0,0,60.26174389,-3,-64
1,6,8,-2.8,2.235881263,1120.599906,22.29912944,61.63983417,8,-56
1,6,9,-0.02,2.571432065,638.5165939,72.3528275,66.16380611,17,-45
1,6,10,2.7,2.651542405,409.0265417,151.5913389,75.59248944,25,-33
1,6,11,4.8,2.671651593,233.6032597,217.7912858,83.84222139,30,-19
1,6,12,7.4,2.620157425,720.3181661,122.9450811,95.681365,33,-3
1,6,13,8.91,2.467004737,365.9435247,206.5702956,104.9358906,32,14
1,6,14,9.44,2.462068298,62.83799694,202.4374736,107.3283239,27,29
1,6,15,9.03,2.408917977,16.63398861,129.3796983,106.5281531,20,42
1,6,16,7.49,2.617171031,4.753173889,52.78171083,96.11826306,11,53
1,6,17,7.5,2.638212713,0,0,95.78697278,1,62
1,6,18,5.88,2.519462611,0,0,91.06604056,-11,70
1,6,19,5.14,2.419975974,0,0,89.80024361,-23,77
1,6,20,4.33,2.358312904,0,0,87.59570389,-35,85
1,6,21,3.29,2.382429165,0,0,82.88002111,-47,87
1,6,22,2.69,2.374502368,0,0,80.58988639,-59,76
1,6,23,2.33,2.358878529,0,0,79.42728472,-71,56
1,6,24,2.18,2.45303506,0,0,77.07280694,-78,11
1,7,1,1.28,2.402904972,0,0,74.39247528,-74,-45
1,7,2,1.49,2.347008225,0,0,76.27664472,-63,-70
1,7,3,0.79,2.311245947,0,0,74.16431472,-51,-83
1,7,4,0.47,2.301191297,0,0,73.08783361,-39,-88
1,7,5,1.32,2.276865993,0,0,76.9276275,-26,-80
1,7,6,1.06,2.283446575,0,0,75.76591056,-15,-72
1,7,7,0.87,2.417222058,0,0,72.49491167,-3,-65
1,7,8,1.14,2.526468206,279.4356953,43.92655556,71.566005,8,-56
1,7,9,2.18,2.461877948,171.6917903,122.8452222,76.91023389,17,-46
1,7,10,3.44,2.432095365,489.6665228,137.0726303,82.56939333,25,-33
1,7,11,4.75,2.360058329,692.8963761,119.9808586,89.2986525,31,-19
1,7,12,6.76,2.269557534,883.5499719,93.32661778,99.42985194,33,-3
1,7,13,9.7,2.408913994,799.0996747,103.5701569,109.4439431,32,14
1,7,14,8.69,2.298372294,583.5462128,136.6467367,107.1337939,27,29
1,7,15,7.55,2.434927479,236.3091681,156.5163389,99.67895944,20,42
1,7,16,7.11,2.481003133,16.64166028,75.85973667,96.95823806,11,53
1,7,17,6.08,2.583803681,0,0,90.74488083,1,62
1,7,18,5.09,2.606994301,0,0,86.19247056,-11,70
1,7,19,3.53,2.954129627,0,0,73.76351833,-22,77
1,7,20,5.78,3.797736789,0,0,69.84411111,-35,85
1,7,21,3.59,3.005884797,0,0,73.14587917,-47,87
1,7,22,2.55,2.918659156,0,0,70.37468056,-59,75
1,7,23,1.86,2.968205758,0,0,66.76314139,-70,56
1,7,24,2.31,3.01198781,0,0,67.84515806,-78,11
1,8,1,-0.09,2.618422237,0,0,65.04821361,-74,-45
1,8,2,-0.45,2.590634157,0,0,64.13250667,-63,-70
1,8,3,-0.74,2.485993127,0,0,64.8919325,-51,-83
1,8,4,-0.17,2.625572721,0,0,64.60678639,-39,-88
1,8,5,0.31,2.661096872,0,0,65.86675667,-27,-80
1,8,6,-0.21,2.662596024,0,0,63.79387722,-15,-73
1,8,7,-0.73,2.602514698,0,0,62.82590333,-3,-65
1,8,8,0.3,2.786722724,976.9876056,19.51159472,63.63483583,8,-56
1,8,9,2.33,2.747801247,896.2712036,47.08501583,72.40910861,17,-46
1,8,10,4.42,2.736039176,898.7427961,70.45963944,81.14276222,25,-33
1,8,11,6.07,2.890266859,884.4280808,86.31257111,85.36564083,31,-19
1,8,12,7.75,3.108340805,822.290795,101.5251997,88.86289056,33,-3
1,8,13,9.18,3.498777439,694.4089033,127.676125,88.84562556,32,13
1,8,14,9.5,3.575445272,533.758015,148.5290522,89.06599861,27,29
1,8,15,9.68,3.492435595,213.581425,159.80598,91.12054833,20,42
1,8,16,9.2,3.287007172,11.81738056,72.27860417,92.2389,11,53
1,8,17,8.29,3.612171874,0,0,83.26969778,1,62
1,8,18,6.91,3.810737764,0,0,74.41417333,-10,70
1,8,19,6.43,4.230904364,0,0,66.36608972,-22,78
1,8,20,6.05,4.453309668,0,0,61.70424917,-34,85
1,8,21,4.84,4.236590833,0,0,59.63780333,-47,87
1,8,22,3.76,4.069662605,0,0,57.53733417,-59,75
1,8,23,2.31,3.602660205,0,0,58.49415361,-70,56
1,8,24,4.24,3.727137005,0,0,64.49314722,-77,11
1,9,1,3.82,4.13194855,0,0,56.90032333,-74,-44
1,9,2,2.96,3.858610081,0,0,57.31745194,-63,-70
1,9,3,2.84,3.751232363,0,0,58.41168306,-51,-83
1,9,4,2.52,3.720947157,0,0,57.56581611,-39,-88
1,9,5,2.77,3.510360716,0,0,61.76123861,-27,-80
1,9,6,3.26,3.558493965,0,0,63.01707778,-15,-73
1,9,7,3.26,3.333399544,0,0,66.50394778,-3,-65
1,9,8,3.81,3.316752389,63.60901306,45.38797694,69.01487222,8,-56
1,9,9,4.18,3.338248227,37.10996194,112.2835561,70.19605083,17,-46
1,9,10,6.08,3.53930815,102.9473778,184.4584906,74.98052556,25,-34
1,9,11,6.96,3.69363545,175.4088369,225.8844914,76.36313611,31,-19
1,9,12,7.65,3.821372793,223.5895469,239.7906647,77.40735417,33,-3
1,9,13,7.65,4.02311353,238.3885472,233.3596719,74.48162889,32,13
1,9,14,7.77,4.069537897,476.7656356,161.9797369,74.33211083,28,29
1,9,15,7.97,4.185665129,172.6190328,163.8536464,73.54793833,20,42
1,9,16,7.68,4.174961955,14.29402222,75.92811,72.45668694,11,53
1,9,17,6.9,4.018285941,0,0,71.35879278,1,62
1,9,18,5.58,4.083692131,0,0,64.86989472,-10,70
1,9,19,4.63,4.04231612,0,0,61.50918917,-22,78
